Cedula,Nombre,Correo,Monto
1122334455,Carlos Rodríguez,staff@evento.com,500
1234567890,Juan Pérez,juan.perez@evento.com,450
0987654321,María González,maria.gonzalez@evento.com,600
1111111111,Ana Martínez,ana.martinez@evento.com,350
2222222222,Pedro López,pedro.lopez@evento.com,400
3333333333,Laura Silva,laura.silva@evento.com,550
4444444444,Roberto Díaz,roberto.diaz@evento.com,300
5555555555,Carmen Ruiz,carmen.ruiz@evento.com,420
6666666666,Fernando Castro,fernando.castro@evento.com,480
7777777777,Patricia Morales,patricia.morales@evento.com,520
8888888888,Luis Herrera,luis.herrera@evento.com,380
9999999999,Sofia Vargas,sofia.vargas@evento.com,460
1010101010,Diego Ramírez,diego.ramirez@evento.com,500
1212121212,Valentina Torres,valentina.torres@evento.com,410
1313131313,Andrés Flores,andres.flores@evento.com,440
1414141414,Gabriela Mendez,gabriela.mendez@evento.com,390
1515151515,Miguel Ortiz,miguel.ortiz@evento.com,530
1616161616,Isabella Reyes,isabella.reyes@evento.com,470
1717171717,Santiago Jiménez,santiago.jimenez@evento.com,360
1818181818,Camila Navarro,camila.navarro@evento.com,490
